horizon,block_id,acc_bal,mcc_macro,f1_up,f1_down,n_test,prop_zero,calibrator
1,2,0.34401249885120855,0.04418220506764183,0.0784313725490196,0.4137931034482759,146,0.03424657534246575,isotonic
1,3,0.36165689149560126,0.04625181583753565,0.26865671641791045,0.3023255813953489,146,0.5273972602739726,isotonic
1,4,0.39384920634920634,0.09381396599446092,0.17857142857142858,0.4054054054054054,146,0.6712328767123288,isotonic
1,5,0.33491121935889373,0.008445456261526232,0.11320754716981132,0.21212121212121213,149,0.7046979865771812,isotonic
3,2,0.3439107350257176,0.04281778337987344,0.039999999999999994,0.44198895027624313,146,0.03424657534246575,isotonic
3,3,0.2605664488017429,-0.12889697330013306,0.1590909090909091,0.06896551724137931,146,0.6575342465753424,isotonic
3,4,0.43564968623108163,0.15430690203117547,0.2857142857142857,0.48484848484848486,146,0.4589041095890411,isotonic
3,5,0.30801771871539313,-0.042854122869134474,0.1891891891891892,0.09836065573770493,149,0.7181208053691275,isotonic
5,2,0.3401360544217687,0.06783225605843639,0.0,0.4324324324324324,146,0.00684931506849315,isotonic
5,3,0.27881297446514836,-0.08898304145695166,0.3063063063063063,0.25,146,0.15753424657534246,isotonic
5,4,0.34126984126984133,0.020192208377648863,0.07692307692307693,0.5106382978723405,146,0.3493150684931507,isotonic
5,5,0.36152041760274883,0.04698983340867954,0.0983606557377049,0.4029850746268657,149,0.3825503355704698,isotonic
